name,name_en,railway,ele,operator_t,layer,addr_full,addr_city,source,name_hi,name_ta,osm_id,osm_type,geometry
Pulgaon Junction,,station,,,,,,,,,1775307131,nodes,POINT (78.3175529 20.7262581)
Kaotha,,station,,,,,,,,,298620871,nodes,POINT (78.3773822 20.7373659)
Chitoda,,station,,,,,,,,,6634954024,nodes,POINT (78.6255657 20.7140511)
Bhugaon,,station,,,,,,,,,6635167817,nodes,POINT (78.6697872 20.6735769)
Bikrampur,,station,,,,,,,,,2053311018,nodes,POINT (79.5867373 23.0824143)
Kachhpura,,station,,,,,,,,,910326329,nodes,POINT (79.8988817 23.1707354)
Pulgaon Jn. (NG),,station,,,,,,,,,2068743611,nodes,POINT (78.3187759 20.7268652)
Warud,,station,,,,,,,,,2100206271,nodes,POINT (78.6512665 20.7467722)
Wagholi,,station,,,,,,,,,1114895738,nodes,POINT (78.772122 20.5820092)
Bhitoni,,station,,,,,,,,,2039146219,nodes,POINT (79.6732636 23.1422323)
Bheraghat,,station,,,,,,,,,910326306,nodes,POINT (79.7977655 23.1697783)
Garha,,station,,,,,,,,,7437858782,nodes,POINT (79.8647065 23.1414003)
Badnera Junction,,station,,,,,,,,,298616683,nodes,POINT (77.7321821 20.8570611)
New Amravati,,station,,,,,,,,,1168841672,nodes,POINT (77.7329016 20.9030406)
Pench,,station,,,,,,,,,6254188156,nodes,POINT (76.9333407 24.0494196)
Sinduriya Kachari,,station,,,,,,,,,6254188157,nodes,POINT (76.9262925 24.0215818)
Mandi Bamora,,station,,,,,,,,,1264704571,nodes,POINT (78.0823252 24.0534758)
Srinagar,,station,,,,,,,,,2188691258,nodes,POINT (75.5688782 25.3640449)
Kesholi,,station,,,,,,,,,1946324100,nodes,POINT (76.7891361 24.7290284)
Chau Mahla,,station,,,,,,,,,1991979921,nodes,POINT (75.6011545 23.948541)
Talavli,,station,,,,,,,,,1991979161,nodes,POINT (75.5975925 23.9032037)
Damoh,,station,,,,,,,,,907082996,nodes,POINT (79.4321389 23.8360587)
Kurwai Kethora,,station,,,,,,,,,6185341580,nodes,POINT (78.1156776 24.1183085)
Dangidahar,,station,,,,,,,,,6231721055,nodes,POINT (79.0182276 23.8689625)
Ganeshganj,,station,,,,,,,,,6231728745,nodes,POINT (79.0732516 23.8954962)
Mahadevkhedi,,station,,,,,,,,,6239652159,nodes,POINT (78.1946924 24.2365077)
Aslana,,station,,,,,,,,,6231743566,nodes,POINT (79.3195701 23.8600776)
Mungaoli,,station,,,,,,,,,6239869264,nodes,POINT (78.1118902 24.4023238)
Guneru Bamori,,station,,,,,,,,,6239869269,nodes,POINT (78.0630059 24.4620946)
Bina Junction,,station,,,,,,,,,806523873,nodes,POINT (78.1851809 24.1712328)
Trilokpur,,station,,,,,,,,,6154129047,nodes,POINT (82.7090288 27.5066725)
Sevagram,,station,,,,,,,,,4004113007,nodes,POINT (78.6185535 20.7391912)
Baghora,,station,,,,,,,,,6231483378,nodes,POINT (78.2604655 24.1362553)
Kakraha Rest House,,station,,,,,,,ककरहा रेस्ट हाउस,,4833440383,nodes,POINT (81.3196002 28.0962114)
Pachperwa,,station,,,,,,,,,1187391954,nodes,POINT (82.6390221 27.5299495)
Orr,,station,,,,,,,,,3881830458,nodes,POINT (77.833791 24.5228933)
Rahatwas,,station,,,,,,,,,6239869275,nodes,POINT (77.8801503 24.5184447)
Hinotia Pipalkhera,,station,,,,,,,,,6239869278,nodes,POINT (77.7996519 24.5312998)
Dahegaon,,station,,,,,,,दहेगाँव,,2100205664,nodes,POINT (78.4634161 20.7294147)
Daulta,,station,,,,,,,,,6185566652,nodes,POINT (78.4288701 24.9948937)
Virul,,station,,,,,,,,,6634314392,nodes,POINT (78.3387161 20.8035599)
Sorta,,station,,,,,,,,,6634321884,nodes,POINT (78.3386829 20.7692725)
Kayar,,station,,,,,,,,,6286458881,nodes,POINT (78.9073026 19.9066859)
Yenor,,station,,,,,,,,,6635215825,nodes,POINT (78.840938 20.4940971)
Nagri,,station,,,,,,,,,6635330975,nodes,POINT (78.8900569 20.4068695)
Sonkhamb,,station,,,,,,,,,6203643222,nodes,POINT (78.7365593 21.2764003)
Devri P.H.,,station,,,,,,,,,6130402682,nodes,POINT (79.8336954 22.8413006)
Duriyaganj,,station,,,,,,,,,5973995565,nodes,POINT (79.7823535 24.8012943)
Basari,,station,,,,,,,,,6236911347,nodes,POINT (79.702878 24.8135796)
Binaiki,,station,,,,,,,,,2022061986,nodes,POINT (79.9031003 22.7197702)
Sukrimangela,,station,,,,,,,,,6130402683,nodes,POINT (79.8346206 22.9071106)
Janghai Junction,,station,,,,,,,,,7596470089,nodes,POINT (82.3100813 25.5500475)
Mungara Badshahpur,,station,,,,,,,,,6277483649,nodes,POINT (82.1908879 25.6529101)
Barya Ram,,station,,,,,,,,,8999686376,nodes,POINT (82.226592 25.566931)
Lidhora Khurd,,station,,,,,,,,,6231689196,nodes,POINT (78.8761182 23.8521819)
Bargi,,station,,,,,,,,,6130405037,nodes,POINT (79.872322 22.9939898)
Karonda,,station,,,,,,,,,2184441536,nodes,POINT (78.2651192 24.3302172)
Mohasa,,station,,,,,,,,,2184437237,nodes,POINT (78.2877641 24.3756427)
Dhaura,,station,,,,,,,,,2184437235,nodes,POINT (78.3219214 24.4504812)
Khurai,,station,,,,,,,,,1340389916,nodes,POINT (78.3309666 24.0521941)
Udaipura,,station,,,,,,,,,6236958315,nodes,POINT (78.6530113 24.7754936)
Bina Malkhedi,,station,,,,,,,,,806523896,nodes,POINT (78.2235214 24.170509)
Isarwara,,station,,,,,,,,,6231502666,nodes,POINT (78.5484064 23.9268136)
Nariaoli,,station,,,,,,,,,6231572244,nodes,POINT (78.6045358 23.8960337)
Jeruakhera,,station,,,,,,,,,6231497138,nodes,POINT (78.4801561 23.9730743)
Unchahar Junction,,station,,,,,,,,,1156057860,nodes,POINT (81.2999494 25.9032351)
Kundaharnamganj,,station,,,,,,,,,2876638012,nodes,POINT (81.5099118 25.7141663)
Iradatganj,,station,,,,,,,,,312877098,nodes,POINT (81.8193512 25.3180224)
Fursatganj,,station,,,,,,,,,8999708423,nodes,POINT (81.415651 26.244522)
Rupamau,,station,,,,,,,,,8999708466,nodes,POINT (81.325346 26.230209)
Rae Bareli Junction,,station,,,,,,,,,7605542638,nodes,POINT (81.2403133 26.2313438)
Badshahnagar,,station,,,,,,,,,2213443829,nodes,POINT (80.9614569 26.8689884)
Safdarganj,,station,,,,,,,,,2319718088,nodes,POINT (81.3616885 26.9143164)
Jahangirabad Rj,,station,,,,,,,,,5768744741,nodes,POINT (81.2475655 26.9741485)
Pratapgarh Junction,,station,,,,,,,,,1848332494,nodes,POINT (82.0007886 25.9115884)
Rasauli,,station,,,,,,,,,2242713832,nodes,POINT (81.253366 26.931321)
Gomati Nagar,,station,,,,,,,,,535121349,nodes,POINT (81.0029055 26.8605833)
Bakkas,,station,,,,,,,,,7597064037,nodes,POINT (81.0245555 26.7711792)
Malhaur,,station,,,,,,,,,2196598017,nodes,POINT (81.040798 26.8536826)
Chhandrauli,,station,,,,,,,,,8999708428,nodes,POINT (81.230789 26.6996764)
Jugaur,,station,,,,,,,,,2242712145,nodes,POINT (81.0888944 26.8815593)
Safedabad,,station,,,,,,,,,2242713833,nodes,POINT (81.1167756 26.8980333)
Saiyedpur Bhitri,,station,,,,,,,,,7622341066,nodes,POINT (83.2330582 25.5395125)
Dobhi,,station,,,,,,,,,2075454007,nodes,POINT (82.9908994 25.611082)
Kirakat,,station,,,,,,,,,2075454119,nodes,POINT (82.9185865 25.6478243)
Mariahu,,station,,,,,,,,,1263576756,nodes,POINT (82.5979649 25.5968769)
Raja Talab,,station,,,,,,,,,315905775,nodes,POINT (82.8510675 25.2637535)
Kashi,,station,,,,,,,,,293269947,nodes,POINT (83.0318039 25.3268078)
Haidergarh,,station,,,,,,,,,7597064039,nodes,POINT (81.363873 26.6208586)
Kankaha,,station,,,,,,,,,7605542414,nodes,POINT (81.0080002 26.6191297)
Nigohan,,station,,,,,,,,,2194362044,nodes,POINT (81.0459214 26.5675416)
Shivnagar,,station,,,,,,,,,5744021787,nodes,POINT (81.8830769 26.3365062)
Nigatpur,,station,,,,,,,,,10245319623,nodes,POINT (82.7604081 25.2510894)
Shudnipur,,station,,,,,,,,,2073132347,nodes,POINT (82.6405588 25.626186)
Bakhsha,,station,,,,,,,,,1018347203,nodes,POINT (82.5693348 25.7860239)
Akbarganj,,station,,,,,,,,,7597064040,nodes,POINT (81.5037147 26.5309715)
Misrauli,,station,,,,,,,,,1848332566,nodes,POINT (81.8482568 26.1139792)
Dalmau Junction,,station,,,,,,,,,7605896107,nodes,POINT (81.0544333 26.075646)
